Albert	Douglas		AUS	24	6	55	80	76	75	72	77	71	68	63	54	66	59	68	68,00	Aqua Blue Sport
Carpole	Andrea		ITA	23	7	70	60	76	51	71	55	71	58	52	70	58	74	56	63,23	Aqua Blue Sport
Harris	William		USA	18	6	64	58	65	64	67	58	70	71	58	54	53	51	73	62,00	Aqua Blue Sport
Kachanov	Yuri		KAZ	27	8	62	54	55	56	67	51	74	57	80	76	75	68	61	64,31	Aqua Blue Sport
Karlstrom	Svet		SWD	22	6	58	65	62	55	55	65	79	81	71	60	62	72	77	66,31	Aqua Blue Sport
Keita	Said		FRA	27	7	59	70	72	50	56	80	57	67	55	61	79	53	68	63,62	Aqua Blue Sport
Lavezzi	Lionel		ARG	31	1	53	62	70	79	82	74	56	79	53	77	64	79	79	69,77	Aqua Blue Sport
Mesmedov	Vlad		RUS	20	7	74	64	72	61	53	70	63	63	64	74	74	55	65	64,15	Aqua Blue Sport
O'Seans	Elisey		IRL	29	4	53	68	63	65	73	50	70	71	57	56	61	70	80	64,38	Aqua Blue Sport
Shevechenko	Volodimir		UKR	31	7	73	56	77	80	66	66	67	70	65	79	56	78	52	68,08	Aqua Blue Sport
Steward	Culham		AUS	31	7	71	55	54	81	74	61	51	71	60	75	53	53	78	64,38	Aqua Blue Sport
Van Kallagen	Linus		BEL	28	3	62	63	80	67	61	66	61	81	51	54	64	76	76	66,31	Aqua Blue Sport
Bos	Luka		NED	34	8	52	76	78	61	77	51	51	77	56	78	55	68	68	65,23	Belize Cycling
Busquero	Andres		ESP	31	1	67	61	65	76	54	66	63	76	75	76	55	66	72	67,08	Belize Cycling
Einhart	Ludwig		AUT	34	1	69	74	74	74	64	50	67	71	66	76	74	64	74	69,00	Belize Cycling
Evinae	Hansel		EST	32	4	71	76	51	71	71	55	58	50	66	74	57	63	73	64,31	Belize Cycling
Imana	Kaisan		RWA	22	1	71	65	60	67	60	75	64	61	62	60	72	69	59	65,00	Belize Cycling
Oliveiro	Rui		POR	21	8	71	59	57	64	63	71	60	60	57	60	73	76	69	64,62	Belize Cycling
Quimpard	Maurice		CAN	24	4	53	59	75	62	62	53	78	59	51	71	53	76	79	63,92	Belize Cycling
Rodriguez	Alejandro		COL	22	2	65	69	56	57	55	64	76	59	59	74	53	65	58	62,31	Belize Cycling
Safale	Alberto		ITA	31	6	76	56	63	70	82	53	76	68	74	81	51	56	67	67,15	Belize Cycling
Tiffanyenko	Pavel		UKR	20	6	57	64	67	56	55	62	56	74	68	64	60	64	61	62,15	Belize Cycling
Tilk	Aadu		EST	23	7	67	55	64	67	73	71	69	73	70	75	58	76	76	68,77	Belize Cycling
Yarmolenko	Dmytro		UKR	23	7	79	55	54	57	76	62	72	51	66	72	75	66	69	65,69	Belize Cycling
Albero	Fabian		SWI	23	3	73	74	58	53	59	71	71	74	51	59	64	53	60	63,08	BN
Blaison	Axel		FRA	32	8	79	67	56	82	50	70	60	80	61	68	63	58	69	66,38	BN
Da Cunha	Manuel		BRE	29	4	81	80	61	80	71	57	70	62	77	55	67	67	63	68,54	BN
Duveau	Samuel		FRA	26	3	78	64	70	78	59	78	78	56	66	75	57	61	71	68,54	BN
Escobar	Gustavo		COL	22	5	71	69	53	64	58	72	75	72	53	67	55	55	53	62,85	BN
Montaignan	Pierre		FRA	23	6	72	55	75	73	66	65	61	73	73	71	56	51	69	66,15	BN
Pardou	Philippe		FRA	21	1	71	65	64	56	63	54	70	58	63	74	76	67	72	65,62	BN
Pitanae	Jan		EST	33	7	75	63	59	79	75	61	61	62	50	78	56	52	72	64,85	BN
Renault	Marin		FRA	21	7	76	53	66	60	72	55	56	69	75	76	73	62	72	66,54	BN
Shapalov	Ignar		BUL	20	3	75	71	68	60	55	70	58	64	74	65	66	57	62	65,00	BN
Van Der Malen	Jeff		NED	28	2	81	55	60	61	55	78	81	81	79	50	61	80	59	67,77	BN
Yamamoto	Yuki		JAP	23	8	66	78	55	68	56	57	54	71	57	75	56	65	75	64,08	BN
Chesterfield	Harry		GBR	20	3	73	74	56	63	63	53	51	69	68	74	63	72	73	65,54	Cinelli Racing Team
Erdogan	Aslan		TUR	21	4	68	60	56	64	76	63	74	77	65	59	56	61	64	64,85	Cinelli Racing Team
Farah	Steven		GBR	27	5	71	56	62	59	67	56	67	57	51	55	74	75	72	63,23	Cinelli Racing Team
Ignakov	Alex		KAZ	19	8	64	62	68	71	66	71	63	72	69	56	61	52	57	64,00	Cinelli Racing Team
Kestec	Jan		CZE	23	5	67	58	51	54	70	73	63	51	59	57	77	76	66	63,23	Cinelli Racing Team
Mirai	Hiroki		JAP	24	7	78	54	65	69	65	69	61	55	60	70	73	67	72	66,00	Cinelli Racing Team
Pate	Andrew		GBR	30	6	53	56	64	77	54	60	66	67	67	82	69	74	70	66,08	Cinelli Racing Team
Pjalic	Milos		SER	31	2	80	65	77	62	70	53	81	53	56	70	79	65	66	67,46	Cinelli Racing Team
Van Dijk	Marco		NED	22	5	70	78	75	50	59	76	69	67	71	72	74	59	54	67,23	Cinelli Racing Team
Willson	Lamar		USA	22	7	77	54	68	64	67	50	59	66	68	60	56	52	52	61,00	Cinelli Racing Team
Wood	Jordan		GBR	26	4	69	63	79	53	50	77	62	78	65	54	64	71	75	66,15	Cinelli Racing Team
Wyatt	Gerald		GBR	22	8	68	78	59	75	62	58	59	73	71	55	76	62	75	67,00	Cinelli Racing Team
Brajkovic	Slean		SVK	31	5	61	69	68	68	71	52	58	61	62	81	64	62	71	65,23	Galp Energia
Di Cogno	VIncenzo		ITA	20	6	56	54	57	58	66	73	71	61	61	58	76	62	57	62,31	Galp Energia
Echangue	Helmut		RWA	34	7	74	60	57	77	73	76	71	72	57	69	77	75	65	69,46	Galp Energia
Flavic	Noved		SER	23	8	62	58	51	70	64	67	65	69	62	60	78	66	66	64,46	Galp Energia
Ignatiev	Edgar		RUS	23	3	70	59	73	77	65	59	62	63	72	60	69	75	69	67,15	Galp Energia
Katz	Benjamin		ISR	29	7	76	51	65	62	57	70	71	52	60	62	65	71	82	64,92	Galp Energia
Mislaev	Rein		EST	24	3	76	64	63	53	64	56	64	66	68	58	78	65	70	65,00	Galp Energia
Palan	Tadej		SVN	24	1	72	53	73	57	68	51	69	79	57	68	63	74	68	65,54	Galp Energia
Paora	Rawiri		NZL	23	3	57	71	70	52	75	72	78	74	55	78	63	65	53	66,38	Galp Energia
Perovos	Javier Hernan		ECU	33	5	69	53	76	72	59	75	54	56	75	78	61	73	54	65,77	Galp Energia
Skarnar	Milan		SVN	33	5	77	54	52	51	67	51	78	68	77	78	75	79	59	66,62	Galp Energia
Toth	Maciej		HON	31	5	80	53	65	71	64	75	66	70	80	68	62	60	65	67,62	Galp Energia
Beaudroy	Lucas		SWI	21	4	66	64	76	62	56	53	66	56	77	72	54	54	52	62,15	Gatorade
De Rossi	Francesco		ITA	25	3	64	58	70	75	69	76	68	69	69	64	64	70	51	66,69	Gatorade
Du Toit	Jess		NAM	20	5	56	56	65	54	70	74	60	65	67	75	58	56	68	63,38	Gatorade
Herman	Frank		LUX	29	2	74	58	65	54	58	53	81	71	81	54	51	62	75	64,38	Gatorade
Madero	Samuel		ESP	31	7	69	69	71	62	79	81	65	80	64	73	68	67	68	70,46	Gatorade
Malessen	Ian		DAN	24	4	65	78	52	75	70	61	70	68	64	76	53	54	57	64,85	Gatorade
Marquez	Leon		ESP	22	8	71	64	75	55	70	67	57	67	60	65	77	69	75	67,08	Gatorade
Martic	Janez		SVK	22	3	65	62	58	66	55	65	52	56	56	72	53	64	62	60,46	Gatorade
