Lavezzi	Lionel		ARG	30	1	53	62	70	79	82	74	56	79	53	77	64	79	79	69,77	Aqua Blue Sport
Shevechenko	Volodimir		UKR	30	7	73	56	76	80	66	66	67	70	65	79	56	78	52	68,00	Aqua Blue Sport
Albert	Douglas		AUS	23	6	55	79	75	75	72	76	71	68	62	53	66	58	68	67,54	Aqua Blue Sport
Van Kallagen	Linus		BEL	27	3	60	63	80	67	61	66	61	81	51	54	64	76	76	66,15	Aqua Blue Sport
Mattheus	Sebastian		ALL	34	2	76	78	61	62	58	53	52	58	59	74	78	75	70	65,69	Aqua Blue Sport
Li	Wang Shen		CHN	34	6	70	55	52	64	53	78	63	62	71	70	78	79	58	65,62	Aqua Blue Sport
Karlstrom	Svet		SWD	21	6	56	65	62	55	54	65	77	78	70	59	61	71	75	65,23	Aqua Blue Sport
Chakroui	Omar		TUN	33	2	60	57	72	75	70	75	53	51	73	59	78	56	58	64,38	Aqua Blue Sport
O'Seans	Elisey		IRL	28	4	51	68	63	65	73	50	70	71	57	56	61	70	80	64,23	Aqua Blue Sport
Mesmedov	Vlad		RUS	19	7	71	64	72	61	51	68	63	62	63	72	71	52	64	64,15	Aqua Blue Sport
Kachanov	Yuri		KAZ	26	8	62	54	55	56	67	51	74	55	80	75	73	67	61	63,85	Aqua Blue Sport
Keita	Said		FRA	26	7	56	70	72	50	56	80	57	67	55	59	79	53	68	63,23	Aqua Blue Sport
Dolenc	Janez		SVN	29	1	59	77	69	67	79	66	71	75	59	79	74	59	77	70,08	Belize Cycling
Garcia Feliz	José		COL	31	5	70	54	70	79	77	80	68	66	71	64	68	58	73	69,08	Belize Cycling
Busquero	Andres		ESP	30	1	67	61	65	76	54	66	63	76	75	76	55	66	72	67,08	Belize Cycling
Safale	Alberto		ITA	30	6	76	56	63	70	82	53	76	66	74	81	51	56	67	67,00	Belize Cycling
Evinae	Hansel		EST	31	4	71	77	51	71	71	55	58	50	66	75	57	63	74	64,54	Belize Cycling
Yarmolenko	Dmytro		UKR	22	7	77	55	54	56	74	61	70	50	65	71	73	65	68	64,54	Belize Cycling
Imana	Kaisan		RWA	21	1	67	65	60	67	59	75	64	60	61	59	71	68	58	64,15	Belize Cycling
Gesink	Adam		NED	35	8	58	75	76	76	76	62	51	50	64	60	55	67	61	63,92	Belize Cycling
