Pardou	Philippe	FRA	23	1	74	66	65	56	65	54	70	60	65	76	78	67	74	66,92	BN
Montaignan	Pierre	FRA	25	6	72	57	75	73	66	65	61	74	74	71	57	53	69	66,69	BN
Velasquez Castro	Jamon	MEX	20	5	70	68	72	53	58	67	74	73	75	69	74	62	50	66,54	BN
Ferrari	Giovanni	ITA	22	6	71	77	59	73	60	59	70	71	71	55	76	52	61	65,77	BN
Kittel	Markus	ALL	22	7	78	76	60	65	59	51	53	61	69	69	78	73	62	65,69	BN
Carpole	Andrea	ITA	25	7	70	60	77	51	71	54	71	62	52	73	61	77	56	64,23	BN
Delage	Axel	FRA	20	5	75	61	60	68	70	64	67	70	60	63	50	72	51	63,92	BN
Svaticic	Luka	CRO	20	5	74	58	64	59	50	72	63	66	71	59	70	53	71	63,85	BN
Farah	Steven	GBR	29	5	75	56	62	61	67	56	68	57	51	55	74	75	72	63,77	BN
Ninha	Roberto	BRE	21	4	68	76	64	70	50	68	68	69	55	72	54	56	57	63,62	BN
Vakynin	Yaril	UKR	20	7	71	62	73	63	67	53	59	64	51	72	51	52	69	62,08	BN
De Grasse	Albert	CAN	21	7	68	66	60	50	59	55	58	59	65	56	59	72	70	61,31	BN
Estevez	Rigoberto	VEN	32	2	77	64	71	76	80	76	78	52	56	50	81	73	57	68,54	Cactus Team
Mosquera	Juan	ARG	26	7	77	65	65	72	74	76	53	82	75	62	61	59	59	67,69	Cactus Team
Bartoli	Marius	FRA	34	8	67	60	69	55	78	55	77	73	72	51	73	69	73	67,08	Cactus Team
Honda	Seita	JAP	22	1	73	69	62	70	63	60	60	67	79	68	60	61	63	65,77	Cactus Team
Gimenez	Alejandro	VEN	21	6	61	70	64	53	78	71	55	56	73	56	77	58	76	65,23	Cactus Team
Keita	Said	FRA	29	7	59	70	71	50	56	79	57	67	55	65	79	58	68	64,15	Cactus Team
Djokovic	Alexandar	SER	22	3	64	59	60	65	58	53	63	71	70	59	73	77	58	63,85	Cactus Team
Filouski	Robert	POL	24	7	57	59	63	60	70	66	71	67	60	55	53	78	69	63,69	Cactus Team
Laforge	Gwendal	FRA	23	4	59	76	61	59	54	70	56	60	62	53	55	77	73	62,69	Cactus Team
Mate	Luis Miguel	ARG	25	8	58	72	62	52	70	57	63	57	61	57	66	72	64	62,38	Cactus Team
Wiener	Alfred	AUT	27	3	56	54	58	74	68	64	59	54	61	63	63	63	53	60,77	Cactus Team
Berit	Hamza	FRA	24	2	74	57	53	55	78	55	51	61	72	55	58	59	58	60,46	Cactus Team
Tilk	Aadu	EST	25	7	67	55	67	67	73	74	69	73	70	76	60	78	76	69,62	Cinelli Racing Team
Van Dijk	Marco	NED	24	5	70	79	78	50	60	77	69	69	73	75	75	61	55	68,54	Cinelli Racing Team
Wyatt	Gerald	GBR	24	8	68	82	61	75	63	58	59	74	74	56	77	66	76	68,38	Cinelli Racing Team
Chesterfield	Harry	GBR	22	3	75	76	58	63	62	54	53	71	72	77	65	76	75	67,46	Cinelli Racing Team
Wisniewski	Franciszek	POL	31	3	63	57	71	55	54	82	71	63	57	72	80	77	73	67,31	Cinelli Racing Team
Erdogan	Aslan	TUR	23	4	72	60	56	64	78	63	78	81	67	61	58	63	69	66,92	Cinelli Racing Team
Wood	Jordan	GBR	28	4	69	63	79	53	50	78	62	82	65	54	64	71	75	66,54	Cinelli Racing Team
Yarmolenko	Dmytro	UKR	25	7	81	55	54	57	76	62	76	53	66	72	75	66	70	66,38	Cinelli Racing Team
Pate	Andrew	GBR	32	6	55	59	64	76	54	60	66	67	67	81	69	73	70	66,23	Cinelli Racing Team
Kestec	Jan	CZE	25	5	67	58	51	54	70	76	64	50	59	58	77	78	66	63,69	Cinelli Racing Team
Janez Salvio	Ernesto	ECU	20	5	62	57	74	61	68	75	57	57	55	63	54	73	63	63,00	Cinelli Racing Team
Al Sawari	Ahmed	EGY	20	8	71	56	51	74	59	54	54	52	70	61	66	69	66	61,77	Cinelli Racing Team
Van Serren	Jelle	BEL	22	8	66	76	76	61	68	72	70	65	77	60	60	70	67	68,31	Eneco-Colruyt
Echangue	Helmut	RWA	36	7	74	60	57	72	73	74	71	71	57	69	72	72	65	68,23	Eneco-Colruyt
Bjorgsen	Anker	DAN	23	5	75	50	58	75	75	76	77	63	66	63	80	61	63	67,85	Eneco-Colruyt
Adamev	Serguei	RUS	25	8	74	74	77	51	63	75	54	78	71	69	52	82	61	67,77	Eneco-Colruyt
Palalic	Milus	SER	22	7	79	62	73	61	73	61	61	80	59	59	60	80	61	66,85	Eneco-Colruyt
Ignakov	Alex	KAZ	21	8	69	62	68	71	68	75	63	74	71	60	66	58	59	66,46	Eneco-Colruyt
Wyatt	Bob	GBR	23	6	67	54	75	67	63	53	78	82	57	55	66	63	80	66,15	Eneco-Colruyt
Vendomme	Marc	BEL	22	7	65	54	58	72	65	61	75	74	55	69	68	74	60	65,38	Eneco-Colruyt
Kowalski	Robert	POL	21	8	67	73	68	59	54	73	73	52	63	60	67	75	58	64,77	Eneco-Colruyt
Maes	Louis	BEL	20	8	62	72	55	68	60	64	61	64	68	62	64	68	74	64,77	Eneco-Colruyt
Simon	Arthur	BEL	21	8	73	56	50	72	76	54	64	55	75	59	72	67	60	64,08	Eneco-Colruyt
Kim	Minseok	KOR	19	7	57	58	62	62	57	72	58	63	58	57	65	69	71	62,23	Eneco-Colruyt
Lavezzi	Lionel	ARG	33	1	53	62	70	77	79	74	56	78	53	74	64	78	77	68,85	Galp Energia
Ignatiev	Edgar	RUS	25	3	70	59	74	77	65	59	62	65	72	61	70	76	71	67,77	Galp Energia
Van Kesbruck	Daryl	AFS	20	5	75	58	68	51	53	64	71	73	71	70	73	72	74	67,15	Galp Energia
Paora	Rawiri	NZL	25	3	57	71	70	52	75	72	78	75	55	80	64	66	56	67,00	Galp Energia
Anzdren	Casper	CZE	34	7	71	72	73	73	68	73	54	71	54	55	73	67	59	66,38	Galp Energia
Palan	Tadej	SVN	26	1	72	53	73	57	68	51	69	79	57	68	67	74	68	65,85	Galp Energia
Flavic	Noved	SER	25	8	62	58	51	70	64	67	65	74	62	64	82	70	66	65,77	Galp Energia
Mislaev	Rein	EST	26	3	78	64	63	53	64	56	64	66	68	60	78	70	70	65,69	Galp Energia
Katz	Benjamin	ISR	31	7	76	51	65	62	57	70	70	55	60	63	66	71	82	65,23	Galp Energia
Di Cogno	Vincenzo	ITA	22	6	59	54	57	61	69	77	73	63	63	61	80	66	59	64,77	Galp Energia
Steward	Culham	AUS	33	7	71	55	54	79	74	61	51	71	60	73	53	53	76	63,92	Galp Energia
Vrammout	Eli	BEL	23	8	54	62	53	66	60	77	71	67	54	57	79	61	51	62,46	Galp Energia
Madero	Samuel	ESP	33	7	69	69	71	62	79	79	65	78	64	73	68	67	68	70,15	Gatorade
Marquez	Leon	ESP	24	8	71	66	79	55	71	69	56	68	65	68	78	72	76	68,77	Gatorade
Voigt	Daniel	AUS	27	4	74	68	66	78	75	70	78	64	66	70	69	56	56	68,46	Gatorade
De Rossi	Francesco	ITA	27	3	66	58	70	75	69	75	68	69	69	65	64	70	51	66,85	Gatorade
Rotsberger	Ralen	AUT	24	6	77	63	52	79	67	58	58	66	77	59	79	67	59	66,23	Gatorade
Du Toit	Jess	NAM	22	5	60	56	65	54	73	74	62	71	69	78	64	63	70	66,08	Gatorade
Malessen	Ian	DAN	26	4	67	78	52	75	70	61	70	70	64	78	55	55	57	65,54	Gatorade
Beaudroy	Lucas	SWI	23	4	68	67	78	62	61	53	66	61	79	76	58	58	54	64,69	Gatorade
Herman	Frank	LUX	31	2	74	58	65	54	58	53	81	71	81	55	51	62	75	64,46	Gatorade
Pavalodov	Ivan	BUL	21	4	70	72	74	62	59	56	65	53	66	60	73	63	65	64,46	Gatorade
Sandoval	Casiano	ARG	20	7	63	66	59	62	70	52	75	67	53	66	61	56	64	62,62	Gatorade
Martic	Janez	SVK	24	3	66	63	61	67	56	67	53	57	57	73	54	66	63	61,77	Gatorade
Diakité	Bonheur	CIV	26	5	79	70	52	58	62	79	63	74	63	64	77	68	78	68,23	Gerolsteiner
Da Costa	Saul	BRE	32	8	74	67	55	78	76	68	61	79	79	67	60	65	51	67,69	Gerolsteiner
Kalavas	Ignitas	LIT	32	4	67	81	81	73	66	59	50	52	76	54	59	76	67	66,23	Gerolsteiner
Patek	Mikan	POL	23	6	64	66	77	65	60	63	57	57	59	68	59	81	71	65,15	Gerolsteiner
Hassen	Viktor	NOR	37	7	64	57	56	71	51	66	54	69	69	62	71	71	70	63,92	Gerolsteiner
Komadirov	Volom	KAZ	38	4	65	65	67	65	62	68	57	55	68	66	68	59	66	63,92	Gerolsteiner
Bai	Long Hu	CHN	21	8	56	56	52	69	61	54	78	79	61	66	65	67	60	63,38	Gerolsteiner
El Bahan	Mohamad	ETH	28	2	63	79	61	56	62	63	62	51	56	76	66	65	63	63,31	Gerolsteiner
Kamirov	Mikhail	RUS	28	3	64	68	64	65	50	57	79	70	56	55	70	60	62	63,08	Gerolsteiner
Capushov	Ignael	KAZ	26	8	77	58	63	51	56	54	68	66	50	80	70	54	65	62,46	Gerolsteiner
Chérif	Vincent	CIV	32	4	60	54	54	50	57	59	80	74	63	58	57	67	62	61,15	Gerolsteiner
Schmidt	Phil	ALL	38	5	54	65	56	65	65	57	55	52	64	63	67	67	59	60,69	Gerolsteiner
Azzuri	Marcele	SWI	31	5	75	51	69	82	80	69	80	76	78	80	59	63	76	72,15	Holy Cycling Team
Velasquez	Pedro	ECU	29	5	55	55	61	58	79	68	72	82	76	70	60	77	75	68,31	Holy Cycling Team
Martin	Tejay	USA	31	5	82	57	63	67	56	53	74	74	61	72	82	61	78	67,69	Holy Cycling Team
Acaloglu	Sabri	ROM	32	4	55	56	78	71	66	59	65	52	77	80	80	74	67	67,69	Holy Cycling Team
Ferreira	Cristiano	POR	28	7	58	69	65	57	75	81	70	63	73	64	79	58	52	66,46	Holy Cycling Team
Flickenstone	Harry	AUS	25	8	69	65	56	75	59	65	69	75	64	50	60	75	77	66,08	Holy Cycling Team
Alvaredo	Miguel	BRE	26	1	67	61	56	73	79	67	55	68	77	67	77	55	57	66,08	Holy Cycling Team
Di Maria	Franco	ARG	27	6	60	72	58	63	77	77	58	61	59	60	77	64	73	66,08	Holy Cycling Team
Bower	George	GBR	28	7	77	68	54	64	79	74	63	64	56	60	68	53	74	65,69	Holy Cycling Team
Webber	Scotty	AUS	22	1	76	75	71	70	57	60	57	58	59	73	76	62	57	65,46	Holy Cycling Team
Kirov	Vladimir	KAZ	26	5	76	54	71	79	60	58	52	72	51	75	54	77	58	64,38	Holy Cycling Team
Yarakov	Aleksandr	KAZ	22	7	65	51	67	59	66	77	62	57	76	63	59	70	57	63,77	Holy Cycling Team
Shevechenko	Volodimir	UKR	33	7	73	56	77	78	66	66	67	70	65	77	56	76	52	67,62	Japan Airlines - Giant
Safale	Alberto	ITA	33	6	74	56	64	70	80	54	78	68	74	79	51	58	69	67,31	Japan Airlines - Giant
Sato	Takumi	JAP	25	5	79	65	61	66	54	77	69	66	75	58	76	74	54	67,23	Japan Airlines - Giant
Mirai	Hiroki	JAP	26	7	78	54	65	69	65	71	61	55	60	70	75	69	72	66,46	Japan Airlines - Giant
Imana	Kaisan	RWA	24	1	72	65	60	68	61	75	64	64	63	61	75	72	60	66,15	Japan Airlines - Giant
Yamamoto	Yuki	JAP	25	7	66	80	55	68	56	57	54	71	58	79	60	66	75	65,00	Japan Airlines - Giant
Bos	Luka	NED	36	8	52	76	75	61	76	51	51	75	56	75	55	68	69	64,62	Japan Airlines - Giant
Quimpard	Maurice	CAN	26	4	55	59	75	62	62	53	78	61	51	73	55	77	79	64,62	Japan Airlines - Giant
Tiffanyenko	Pavel	UKR	22	6	60	64	69	57	58	63	58	78	70	67	63	68	63	64,46	Japan Airlines - Giant
Rodriguez	Alejandro	COL	24	2	66	72	57	57	56	64	76	63	60	76	54	66	59	63,54	Japan Airlines - Giant
Ruiz Guerra	Flaminio	COL	19	6	62	62	51	70	68	50	75	71	59	68	59	68	59	63,23	Japan Airlines - Giant
Willson	Lamar	USA	24	6	80	54	68	69	70	51	61	67	69	59	58	53	54	62,54	Japan Airlines - Giant
Corazon	Raul	ESP	31	8	53	65	74	71	82	64	53	70	71	82	70	82	51	68,31	Lampre
Malalalescu	Ion	ROM	27	5	57	58	66	77	59	76	79	73	64	71	58	63	70	67,00	Lampre
McDouglas	Silvester	USA	25	3	76	56	51	68	69	53	75	70	70	75	53	73	65	65,69	Lampre
Bochum	Frank	ALL	22	3	72	71	52	66	67	74	55	65	66	73	70	60	58	65,31	Lampre
Sabrel	Esteban	ESP	19	8	75	66	61	59	62	75	74	72	57	62	65	55	61	64,92	Lampre
Wermardt	Thomas	ALL	29	4	63	62	66	73	53	68	70	66	65	66	72	56	60	64,62	Lampre
Baumgartner	Bastian	ALL	25	7	62	77	55	67	50	70	52	78	78	69	60	55	53	63,54	Lampre
Witsel	Eden	BEL	27	7	67	73	66	51	66	64	57	55	69	71	61	58	53	62,38	Lampre
Rincic	Ivan	SVN	29	1	66	50	61	58	62	59	70	72	80	58	52	59	60	62,08	Lampre
Diaz	Pedro	CHL	27	8	60	56	79	62	53	55	55	71	54	73	60	79	50	62,08	Lampre
Peeters	Liam	BEL	18	8	63	59	60	72	50	54	65	56	53	70	58	50	68	59,85	Lampre
Slamka	Antoni	POL	33	3	67	64	74	54	55	72	68	53	50	51	55	54	61	59,85	Lampre
Vlasov	Dmitri	RUS	29	8	76	82	77	73	61	69	73	77	67	68	63	59	55	69,23	Monster Energy
Heinart	Jan	ALL	31	6	71	72	61	79	78	80	56	51	61	78	59	80	69	68,85	Monster Energy
Leonard	Ronnie	USA	31	6	78	64	69	80	65	56	59	65	59	55	75	74	81	67,69	Monster Energy
McVitton	Wesley	GBR	34	2	76	73	76	75	65	77	54	76	51	57	52	69	75	67,38	Monster Energy
O'Connery	Steve	GBR	29	2	68	64	73	77	51	73	72	61	72	80	61	64	59	67,31	Monster Energy
Dwire	Marc	AUS	24	2	65	63	67	70	65	59	77	78	76	68	71	58	55	67,08	Monster Energy
Pizarello	Giacopo	ITA	23	4	75	78	53	70	75	59	72	60	67	66	64	58	67	66,46	Monster Energy
Driscoll	Stewart	IRL	24	3	73	50	51	73	52	77	74	72	56	66	77	65	73	66,08	Monster Energy
Wilson	Liam	NZL	26	3	75	52	69	63	60	64	79	73	53	69	76	58	65	65,85	Monster Energy
Ranger	Lewis	USA	30	2	80	79	64	81	75	53	61	50	59	64	56	81	52	65,77	Monster Energy
Jordan	Lamar	USA	23	1	61	70	65	66	56	60	75	79	66	69	65	54	66	65,54	Monster Energy
Arndt	Stephen	SWI	33	2	66	69	79	62	52	55	64	58	77	69	67	57	77	65,54	Monster Energy
Plantin	Vincent	LUX	23	1	74	72	74	60	54	67	52	75	66	76	65	68	64	66,69	New Balance
Busquero	Andres	ESP	33	1	67	61	65	75	53	66	63	73	73	75	55	66	72	66,46	New Balance
Fischer	Karl	AUT	24	8	69	63	53	67	63	62	81	65	58	74	74	56	72	65,92	New Balance
Bailleux	Albert	FRA	26	4	60	50	71	75	74	63	55	77	56	63	78	51	78	65,46	New Balance
Van Seriguen	Max	NED	25	4	54	77	69	56	62	60	55	59	74	65	72	78	69	65,38	New Balance
Milan	Janez	SVN	21	6	76	57	50	70	81	70	53	71	62	64	62	65	68	65,31	New Balance
Basteiner	Stefan	ALL	19	6	59	69	61	74	56	64	54	67	70	72	58	68	70	64,77	New Balance
Blajic	Novak	SER	23	1	56	66	55	50	73	57	50	72	64	77	72	76	58	63,54	New Balance
Albero	Fabian	SWI	25	3	75	74	58	53	59	71	72	75	51	60	64	53	60	63,46	New Balance
Karachev	Petr	LET	27	1	79	60	58	67	66	52	50	55	74	65	52	61	74	62,54	New Balance
Van der Karen	Virgil	NED	28	4	53	73	50	79	70	60	70	65	65	56	51	55	57	61,85	New Balance
Kaspaev	Gaspar	RUS	19	5	74	58	62	62	50	59	64	68	52	57	59	51	66	60,15	New Balance
Mendoza	Rigoberto	VEN	20	7	62	71	70	73	65	67	72	76	67	71	66	58	63	67,77	Quick-Step Pulsar
Lamont	Jesse	USA	21	8	75	66	70	64	64	56	72	66	63	71	70	67	70	67,23	Quick-Step Pulsar
Callan	Steven	AUS	24	3	62	69	66	52	62	64	66	78	76	82	63	64	55	66,08	Quick-Step Pulsar
Vermaelen	Jos	BEL	33	3	70	61	69	52	69	71	66	57	61	77	66	77	61	65,92	Quick-Step Pulsar
Smith	William	USA	29	7	67	63	53	63	64	55	69	62	76	81	63	57	77	65,38	Quick-Step Pulsar
Edelin	Yusuf	TUR	19	8	63	70	51	55	57	71	74	68	67	56	74	67	72	65,00	Quick-Step Pulsar
Garratt	Jake	AUS	19	8	73	66	64	61	66	58	61	59	61	61	74	65	72	64,69	Quick-Step Pulsar
O'Seans	Elisey	IRL	31	4	53	68	63	64	73	50	67	71	57	56	61	70	80	64,08	Quick-Step Pulsar
Pavachuk	Volodimir	UKR	23	6	68	68	56	64	75	56	73	66	78	53	53	58	57	63,46	Quick-Step Pulsar
Sibulov	Danil	BUL	22	2	75	55	54	67	64	70	69	57	71	56	65	63	53	63,00	Quick-Step Pulsar
Zapatillas	Alejandro	VEN	36	8	68	61	52	70	68	54	62	63	59	68	68	51	70	62,62	Quick-Step Pulsar
Jovanovic	Milos	SER	29	3	60	61	66	66	75	60	51	69	59	59	63	59	56	61,85	Quick-Step Pulsar
Albert	Douglas	AUS	25	6	61	80	76	75	72	77	71	68	63	59	66	59	68	68,85	RBK Bank
Pjalic	Milos	SER	33	2	77	65	77	62	70	53	78	53	56	70	76	65	66	66,77	RBK Bank
Rakitic	Mariej	CRO	24	7	63	50	60	74	82	64	53	54	74	74	75	64	72	66,08	RBK Bank
Inana	Ali	RWA	26	1	75	64	61	65	68	55	75	59	68	56	72	67	70	65,77	RBK Bank
Villmont	Lewis	CAN	23	5	63	57	67	55	71	79	64	62	70	59	82	59	57	65,00	RBK Bank
