Santiago	José		CHL	18	1	59	71	73	63	63	60	66	62	67	60	66	71	72	65,62
Rakitinho	Saul		BRE	21	1	50	64	68	67	76	61	66	70	64	61	50	74	68	64,54
Omizu	Nishihara		JAP	23	3	64	73	64	74	75	54	63	50	67	53	75	68	53	64,08
Svenster	Hughes		ALL	23	7	60	60	66	73	70	57	64	52	63	76	75	59	57	64,00
Egor	Erdin		TUR	19	4	51	66	53	67	50	67	65	55	72	74	70	73	61	63,38
Delort	Kevin		FRA	21	4	59	50	74	60	75	68	62	51	51	68	70	71	63	63,23
Vestom	Kim		SWD	20	2	55	50	66	53	73	67	64	62	71	74	57	60	67	63,00
Adams	Joel		AUS	20	2	59	61	70	50	66	55	69	74	73	62	50	73	51	62,54
Rodriguez Moros	Joé		MEX	23	4	54	58	51	70	55	64	74	56	73	69	56	62	69	62,38
Hoelgaard	Joss		NOR	18	2	66	59	69	62	63	68	60	64	57	63	58	58	60	62,08
Pakoraskas	Dmitri		LIT	22	1	62	61	58	64	73	60	60	63	60	51	65	67	60	61,85
Santos Iberia	Miguel		POR	22	4	65	60	67	61	56	67	51	55	64	70	57	52	77	61,69
Trameau	Marcel		CAN	23	4	66	63	51	66	52	62	66	54	62	63	65	68	61	61,46
Srbijc	Nikola		SER	20	6	52	57	52	61	67	62	59	61	60	52	53	74	75	60,38
Dubois	Marcel		FRA	19	4	60	52	55	69	55	66	67	61	66	52	57	56	67	60,23
Sashimo	Haka		JAP	19	1	61	61	68	55	54	59	55	51	74	64	52	57	65	59,69
Palezotti	Miguele		ITA	18	7	50	55	61	55	56	53	57	52	68	64	60	60	57	57,54
